                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82473,                 2.1441,                 1.2819,                 0.6186,                0.89207,                0.88775,                0.61936,                 1.3962,                 1.3244,                  1.251,                      0,                      0,                      0
                      2,                0.94134,                 1.9839,                 1.3323,                 0.5667,                0.83333,                0.87401,                0.63267,                 1.4141,                 1.3473,                 1.2604,             1.0722e-06,             1.0722e-06,             1.0722e-06
                      3,                0.91943,                 2.0861,                 1.2761,                0.59193,                0.83333,                0.87376,                 0.6253,                 1.4478,                 1.3507,                 1.2683,             1.9088e-06,             1.9088e-06,             1.9088e-06
                      4,                 1.0698,                  2.267,                 1.3935,                 0.5813,                0.83333,                0.87396,                0.60379,                 1.4618,                  1.377,                 1.2727,             2.5097e-06,             2.5097e-06,             2.5097e-06
                      5,                0.99297,                 2.7888,                 1.3617,                0.57078,                0.83333,                0.87239,                0.59628,                 1.4853,                  1.414,                  1.281,              2.875e-06,              2.875e-06,              2.875e-06
                      6,                0.93422,                 1.7708,                  1.243,                0.59797,                0.83333,                0.87832,                0.60891,                 1.4989,                 1.4463,                  1.283,             3.0048e-06,             3.0048e-06,             3.0048e-06
                      7,                0.86349,                 2.8454,                  1.253,                0.68072,                0.83333,                0.89226,                0.62688,                 1.5061,                 1.4725,                 1.2829,             2.8988e-06,             2.8988e-06,             2.8988e-06
                      8,                 1.0715,                 2.2304,                 1.3514,                0.67424,                   0.75,                 0.8924,                 0.6306,                 1.5269,                 1.5027,                 1.2949,             2.5573e-06,             2.5573e-06,             2.5573e-06
                      9,                0.75788,                 1.7485,                 1.1919,                0.66984,                   0.75,                0.87864,                0.61135,                 1.5249,                 1.5553,                 1.3003,             1.9802e-06,             1.9802e-06,             1.9802e-06
                     10,                0.81783,                 1.8579,                 1.1613,                0.67677,                   0.75,                0.83597,                0.60581,                 1.5065,                 1.5428,                 1.2927,             1.1674e-06,             1.1674e-06,             1.1674e-06
